lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.9591793,0.9565859,1.0982896,1,1,0,6.959186,0.17517282
-6.7569071,0.98709807,1.0982896,1,3,0,6.9661483,0.2669048
-7.3085583,0.89519156,1.0982896,2,3,0,7.3990743,0.13534913
-7.0663451,0.95487722,1.0982896,2,3,0,7.8089621,0.35731989
-7.9044859,0.7154628,1.0982896,1,1,0,7.9712214,0.46286247
-7.191473,0.85096616,1.0982896,1,3,0,8.6397678,0.14613899
-6.8700522,1,1.0982896,1,1,0,7.1143453,0.19188123
-6.8225307,1,1.0982896,2,3,0,6.8699622,0.20393534
-7.3509893,0.90645316,1.0982896,1,3,0,7.3658072,0.13183375
-6.7696442,0.99875988,1.0982896,1,3,0,7.249313,0.22462561
-6.7897905,0.99807896,1.0982896,2,3,0,6.7931272,0.21508261
-7.9617922,0.77856204,1.0982896,1,3,0,8.137847,0.094918053
-7.209942,0.86975558,1.0982896,2,3,0,8.8042558,0.38073335
-7.4257146,0.91756289,1.0982896,1,1,0,7.577881,0.41028018
-6.8118784,1,1.0982896,1,1,0,7.1993708,0.29633811
-6.990083,0.93789591,1.0982896,1,1,0,6.9983315,0.34287214
-6.7902376,1,1.0982896,1,1,0,6.9215851,0.28743717
-6.7513892,0.97940603,1.0982896,2,3,0,6.8729463,0.26035063
-6.7490667,0.98713304,1.0982896,2,3,0,6.8097622,0.25574327
-6.8967918,0.96126129,1.0982896,1,3,0,6.9030002,0.32192635
-6.812801,1,1.0982896,2,3,0,6.871825,0.20690373
-9.073771,0.6093447,1.0982896,1,3,0,9.6498266,0.058140496
-6.7743194,0.8161603,1.0982896,1,3,0,9.4925667,0.27936984
-6.8490997,0.85198174,1.0982896,2,3,0,7.3606894,0.30879417
-8.0588473,0.76701304,1.0982896,2,3,0,8.1002745,0.090590872
-6.7539868,1,1.0982896,2,3,0,7.8050562,0.26381584
-6.8647326,0.97151242,1.0982896,1,3,0,6.8655535,0.31336525
-6.7480257,0.96968238,1.0982896,2,3,0,6.9954264,0.24964838
-6.9486548,0.90310988,1.0982896,2,3,0,7.2472354,0.1768926
-7.2881917,0.92623966,1.0982896,1,1,0,7.2932375,0.13710442
-7.3497126,0.98810904,1.0982896,1,1,0,7.4596595,0.13193688
-7.5053721,0.930727,1.0982896,2,3,0,8.3458259,0.12040186
-7.5409456,0.99378305,1.0982896,1,1,0,7.6979312,0.11802204
-7.1703667,0.94449001,1.0982896,1,3,0,8.2238135,0.37466309
-6.9495785,1,1.0982896,1,1,0,7.1380179,0.33434037
-6.8126632,1,1.0982896,1,1,0,6.9107883,0.29663158
-6.8126632,0.97405021,1.0982896,1,1,0,6.8744918,0.29663158
-6.8015982,1,1.0982896,1,1,0,6.8251926,0.29232417
-8.5947075,0.66803807,1.0982896,2,3,0,8.6592914,0.071102584
-7.998452,1,1.0982896,1,1,0,8.6006127,0.093248118
-8.2779333,0.98776809,1.0982896,2,3,0,8.435131,0.081820888
-7.0909916,0.94101607,1.0982896,1,3,0,9.0507098,0.36163956
-6.9102252,0.95666749,1.0982896,1,3,0,7.3529153,0.18367904
-8.1120155,0.81870228,1.0982896,2,3,0,8.550053,0.088342692
-6.9828033,0.98251086,1.0982896,2,3,0,8.3504864,0.17149377
-7.4278216,0.95972784,1.0982896,2,3,0,7.4698477,0.41054504
-6.8333715,0.96041349,1.0982896,2,3,0,7.7316602,0.20087146
-6.7907275,1,1.0982896,1,1,0,6.8273589,0.21470736
-6.7491855,0.9849145,1.0982896,2,3,0,6.8873785,0.24400211
-6.7481605,0.86707324,1.0982896,2,3,0,7.4300801,0.24792169
-7.4663803,0.82367826,1.0982896,1,3,0,7.5081966,0.41532576
-7.4789078,0.99493166,1.0982896,1,1,0,7.7515136,0.41685289
-6.8726259,0.97337634,1.0982896,1,3,0,7.6164263,0.19131243
-6.8726259,0.86869608,1.0982896,1,3,0,7.5409642,0.19131243
-7.7005546,0.8076916,1.0982896,1,3,0,7.9898606,0.44206973
-9.7732765,0.4240551,1.0982896,1,1,0,10.02629,0.5996674
-8.0932877,1,1.0982896,2,3,0,9.2581023,0.089125206
-7.0440169,1,1.0982896,1,3,0,7.9042095,0.16291893
-9.7282946,0.33509601,1.0982896,2,3,0,12.385124,0.59708155
-8.0122975,1,1.0982896,1,1,0,9.4070443,0.47312342
-8.0122975,0.08965282,1.0982896,1,1,0,11.946216,0.47312342
-7.5370929,1,1.0982896,2,3,0,8.0835879,0.42378921
-6.9274271,1,1.0982896,2,3,0,7.5872009,0.18053448
-6.9538087,0.94030013,1.0982896,2,3,0,7.3910301,0.33526617
-9.1237471,0.31316595,1.0982896,1,3,0,11.085596,0.056966729
-8.8517921,1,1.0982896,2,3,0,9.3456508,0.063734536
-6.9286253,0.99047733,1.0982896,1,3,0,8.7039406,0.18032224
-6.9286253,0.90522031,1.0982896,1,3,0,7.4605474,0.18032224
-6.9286253,0.47533868,1.0982896,1,3,0,9.8231897,0.18032224
-6.9053599,1,1.0982896,2,3,0,6.9602009,0.1846039
-6.9333119,0.99307287,1.0982896,1,1,0,6.9696539,0.1795001
-7.6291536,0.83610644,1.0982896,1,3,0,7.9972285,0.43428578
-8.726362,0.82678,1.0982896,2,3,0,8.9972041,0.53195908
-9.1978433,0.82291356,1.0982896,1,1,0,9.9560161,0.56456867
-7.7026138,1,1.0982896,1,1,0,8.8573011,0.44228998
-6.9690051,1,1.0982896,2,3,0,7.4525241,0.33852189
-6.8321739,0.97869348,1.0982896,1,3,0,7.1000207,0.20119883
-7.2135934,0.93482752,1.0982896,1,3,0,7.215831,0.14396092
-6.9672557,1,1.0982896,1,1,0,7.1730518,0.17388804
-6.9605903,1,1.0982896,1,1,0,7.0203727,0.17494624
-7.4070233,0.90610417,1.0982896,1,1,0,7.4082199,0.12745665
-7.3991509,1,1.0982896,1,1,0,7.5520578,0.12805467
-7.0383026,1,1.0982896,2,3,0,7.3357233,0.1636693
-6.9699409,1,1.0982896,1,1,0,7.065114,0.17346727
-7.0307597,0.96200775,1.0982896,2,3,0,7.3679989,0.35080239
-7.0307597,0.94853855,1.0982896,1,1,0,7.2032322,0.35080239
-6.7937187,1,1.0982896,2,3,0,7.0513426,0.21353821
-6.8109238,0.99523454,1.0982896,1,1,0,6.8209398,0.2075042
-6.8380222,0.99268511,1.0982896,1,1,0,6.8508722,0.19962394
-7.8023834,0.83552307,1.0982896,1,3,0,7.8763029,0.10273814
-7.2597457,1,1.0982896,2,3,0,7.7220957,0.13963605
-8.2321227,0.92520957,1.0982896,2,3,0,8.3420545,0.49275867
-6.9716513,0.96113294,1.0982896,1,3,0,8.4385148,0.17320087
-7.086163,0.99128967,1.0982896,2,3,0,7.1205539,0.15765092
-7.8897001,0.89334224,1.0982896,1,3,0,7.8907173,0.098336738
-7.5281417,1,1.0982896,2,3,0,7.9083322,0.11886891
-7.412134,0.90197847,1.0982896,2,3,0,8.5069502,0.40856371
-8.3094204,0.69102229,1.0982896,1,1,0,8.5039303,0.49930355
-8.3094204,0.45204756,1.0982896,1,1,0,9.9423673,0.49930355
-8.3094204,0.79170869,1.0982896,1,1,0,9.2168581,0.49930355
-8.3094204,0.29003549,1.0982896,1,1,0,10.562517,0.49930355
-6.752566,1,1.0982896,1,3,0,7.7866621,0.26204098
-7.1116289,0.85434296,1.0982896,2,3,0,7.5004652,0.15467106
-7.2940594,0.98754942,1.0982896,2,3,0,7.3429233,0.13659396
-6.8292006,1,1.0982896,1,3,0,7.1862285,0.20202302
-7.4417612,0.8788123,1.0982896,2,3,0,7.7826922,0.1248795
-6.8865011,1,1.0982896,1,3,0,7.3168981,0.18835693
-6.9182372,0.99734341,1.0982896,2,3,0,6.9491734,0.18219101
-7.1854974,0.97375974,1.0982896,2,3,0,7.1986802,0.37701361
-6.7689058,0.99772757,1.0982896,1,3,0,7.1496018,0.22505182
-6.8068854,0.95332618,1.0982896,2,3,0,7.0298312,0.2944299
-6.9289383,0.98541985,1.0982896,2,3,0,6.9311544,0.18026695
-7.2854246,0.9217606,1.0982896,1,1,0,7.2879648,0.1373465
-7.1134489,1,1.0982896,1,1,0,7.3006717,0.15446337
-7.5808452,0.9110681,1.0982896,1,1,0,7.5923219,0.11544963
-6.8962517,1,1.0982896,2,3,0,7.3779352,0.32178965
-6.7637846,1,1.0982896,1,1,0,6.8508773,0.27261945
-6.7879029,0.94951932,1.0982896,2,3,0,6.9613479,0.2863584
-7.145652,0.8794185,1.0982896,1,1,0,7.1459779,0.37073877
-6.9721413,1,1.0982896,1,1,0,7.1426791,0.33918088
-6.9721413,0.47017484,1.0982896,2,3,0,8.9682954,0.33918088
-6.8023774,0.98499791,1.0982896,1,3,0,7.0485463,0.21037067
-6.8401132,0.98977459,1.0982896,1,1,0,6.8492135,0.19907485
-6.8401132,0.61655027,1.0982896,1,3,0,9.1287662,0.19907485
-9.9980797,0.47756683,1.0982896,1,3,0,11.038001,0.040397619
-6.7620007,1,1.0982896,2,3,0,9.1898423,0.27127842
-6.9373222,0.95504671,1.0982896,1,3,0,6.9375175,0.33160641
-8.6937976,0.40175305,1.0982896,2,3,0,10.22985,0.06813794
-9.0345694,0.96657419,1.0982896,1,1,0,9.2460756,0.059082268
-7.3560909,0.99467441,1.0982896,1,3,0,8.8176503,0.13142323
-9.5854536,0.82421628,1.0982896,1,3,0,9.7562824,0.047381195
-8.1766382,1,1.0982896,2,3,0,9.4328646,0.085717407
-7.4658517,1,1.0982896,1,1,0,8.0813748,0.1231485
-6.8402343,1,1.0982896,1,3,0,7.3333198,0.19904326
-6.7545959,0.98733703,1.0982896,2,3,0,6.8952223,0.26451253
-7.2347273,0.81464743,1.0982896,2,3,0,7.7313592,0.14194531
-7.0639787,1,1.0982896,1,1,0,7.2403118,0.16036773
-7.0639787,0.83639554,1.0982896,1,3,0,8.279306,0.16036773
-7.0692365,0.99960691,1.0982896,2,3,0,7.1482726,0.159713
-6.8855687,1,1.0982896,1,1,0,7.0337328,0.18855
-7.7852134,0.79485535,1.0982896,2,3,0,8.5251081,0.4509423
-6.8259596,1,1.0982896,1,1,0,7.423405,0.30137135
-6.7769022,0.88625388,1.0982896,2,3,0,7.2418496,0.28081213
-11.068383,0.35794053,1.0982896,2,3,0,11.075535,0.027134992
-12.078138,0.96219143,1.0982896,1,1,0,12.222843,0.018895792
-11.866292,1,1.0982896,2,3,0,12.505326,0.020370051
-10.338389,1,1.0982896,1,1,0,11.828422,0.035521127
-6.8192937,1,1.0982896,2,3,0,9.7324287,0.20489773
-7.0068661,0.86207642,1.0982896,2,3,0,7.8081518,0.16797349
-7.053834,0.98925922,1.0982896,1,1,0,7.1095648,0.161651
-7.0209854,0.95969652,1.0982896,2,3,0,7.549671,0.16600191
-6.8253454,0.97712889,1.0982896,2,3,0,7.2346136,0.20311718
-7.0993645,0.95319738,1.0982896,1,3,0,7.0994103,0.15608859
-7.0993645,0.86815376,1.0982896,1,3,0,8.1121569,0.15608859
-6.8298411,0.9771899,1.0982896,2,3,0,7.3166708,0.20184409
-6.8350664,0.91306722,1.0982896,2,3,0,7.3498136,0.30440129
-6.9525211,0.98808689,1.0982896,2,3,0,6.9526731,0.17625462
-6.935292,0.92503412,1.0982896,2,3,0,7.5027035,0.33114576
-6.8121289,1,1.0982896,2,3,0,6.9064406,0.20711759
-6.9511011,0.95931169,1.0982896,1,3,0,7.0758084,0.33467461
-6.8606695,1,1.0982896,1,1,0,6.9472428,0.31220606
-7.6664711,0.73534979,1.0982896,1,1,0,7.6732541,0.43839038
-6.760398,1,1.0982896,1,3,0,7.3553052,0.27000112
-6.8151525,0.9810839,1.0982896,1,3,0,6.8537351,0.20616491
-6.9613805,0.98565331,1.0982896,2,3,0,6.9754822,0.33690169
-6.8966623,0.93920463,1.0982896,2,3,0,7.2751007,0.1863001
-7.6690621,0.81958635,1.0982896,1,3,0,7.9900745,0.43867237
-7.895628,0.51090483,1.0982896,1,3,0,9.824534,0.098048591
-7.4120898,1,1.0982896,2,3,0,7.8554506,0.12707458
-7.4120898,0.85846079,1.0982896,1,3,0,8.3417496,0.12707458
-6.8909496,1,1.0982896,1,3,0,7.2933791,0.18744599
-6.7634367,0.96240231,1.0982896,2,3,0,7.2184617,0.22849176
-6.7704537,0.99794988,1.0982896,1,1,0,6.7738581,0.22416705
-6.7557881,0.99459855,1.0982896,2,3,0,6.8072149,0.23464114
-7.2309127,0.87924446,1.0982896,1,3,0,7.2926559,0.38385278
-6.781329,0.99447619,1.0982896,1,3,0,7.2159847,0.21869946
-7.132755,0.90816894,1.0982896,1,3,0,7.2360642,0.36864642
-6.7480872,0.77547141,1.0982896,2,3,0,7.9937471,0.24857182
-6.7480271,1,1.0982896,2,3,0,6.7480858,0.2504084
-6.8359991,0.9576656,1.0982896,2,3,0,6.9503158,0.30470304
-9.5505694,0.47454183,1.0982896,1,3,0,9.552913,0.58661659
-7.0576204,1,1.0982896,1,1,0,8.5689441,0.35575423
-6.9350604,0.94695805,1.0982896,1,3,0,7.3647681,0.17919656
-6.9350604,0.56392646,1.0982896,1,3,0,9.2446923,0.17919656
-6.995074,0.98565825,1.0982896,1,1,0,7.0317558,0.1696721
-6.8294055,1,1.0982896,1,1,0,6.955273,0.20196569
