lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.7702545,0.99536302,0.91524172,2,3,0,6.785501,0.27695465
-7.0183989,0.95068023,0.91524172,1,3,0,7.0268853,0.34845136
-6.9250538,1,0.91524172,1,1,0,7.0228407,0.3287869
-6.8976391,1,0.91524172,1,1,0,6.9513421,0.32214037
-7.1710288,0.925137,0.91524172,1,1,0,7.1793176,0.37476674
-6.8840932,1,0.91524172,1,1,0,7.0950982,0.31864867
-6.7801677,0.97967914,0.91524172,2,3,0,7.0285032,0.28255015
-7.5514274,0.75391743,0.91524172,2,3,0,8.2712975,0.11733663
-6.8743163,0.99301723,0.91524172,2,7,0,7.3981801,0.31602752
-6.8046755,1,0.91524172,1,1,0,6.8601386,0.29356111
-6.749834,0.99747313,0.91524172,1,3,0,6.8191519,0.24252541
-6.8082691,0.93054586,0.91524172,2,3,0,7.1918194,0.2083704
-6.8082691,0.89627616,0.91524172,1,3,0,7.3965225,0.2083704
-6.7679497,0.99196523,0.91524172,1,3,0,6.8770155,0.27549024
-7.239049,0.904023,0.91524172,1,3,0,7.268266,0.38504619
-7.0000104,0.86684115,0.91524172,1,3,0,8.0028404,0.16895504
-6.8408133,0.89376888,0.91524172,2,3,0,8.0079489,0.19889258
-10.013262,0.63438669,0.91524172,2,3,0,10.031406,0.040164405
-10.304537,0.94436544,0.91524172,2,7,0,10.413787,0.62847026
-8.5435013,1,0.91524172,2,7,0,10.176783,0.072701383
-8.0504677,1,0.91524172,2,3,0,8.5457249,0.09095282
-9.0652275,0.91101995,0.91524172,1,1,0,9.0652674,0.058344145
-9.0107767,0.968255,0.91524172,2,7,0,9.2052411,0.55210211
-8.0482807,1,0.91524172,2,7,0,9.0143669,0.091047634
-6.7913749,0.94946271,0.91524172,1,3,0,8.7932436,0.28795239
-7.6127272,0.7365084,0.91524172,1,3,0,8.3808317,0.113463
-6.9534257,0.99191586,0.91524172,2,3,0,7.7458925,0.17610641
-7.7555922,0.90505806,0.91524172,2,3,0,8.0001792,0.10522597
-7.2750062,1,0.91524172,1,1,0,7.6925108,0.13826594
-10.136195,0.6103716,0.91524172,2,3,0,11.890798,0.03833185
-10.017061,0.98134911,0.91524172,2,3,0,11.532499,0.040106281
-10.444642,0.98074116,0.91524172,1,1,0,10.61489,0.034137988
-11.001992,0.92045861,0.91524172,2,7,0,11.043984,0.66209678
-8.2114302,1,0.91524172,1,1,0,10.27253,0.49097679
-7.7956827,1,0.91524172,1,1,0,8.3241461,0.45201466
-7.1681836,0.77221502,0.91524172,1,3,0,9.1621297,0.14851343
-7.6131029,0.93624919,0.91524172,1,1,0,7.6146248,0.11343994
-6.7486814,1,0.91524172,2,3,0,7.4512028,0.25455865
-6.9033118,0.97216736,0.91524172,2,3,0,6.9639167,0.32355899
-6.8187433,0.96605834,0.91524172,1,3,0,7.1195684,0.20506375
-6.8497452,0.99371296,0.91524172,1,1,0,6.857818,0.19663205
-6.9185497,0.98666464,0.91524172,1,1,0,6.925628,0.18213382
-7.2405532,0.97162833,0.91524172,2,7,0,7.2449052,0.38526582
-7.2405532,0.83491893,0.91524172,1,1,0,7.7120155,0.38526582
-7.2405532,0.88823954,0.91524172,1,1,0,7.5928098,0.38526582
-7.3730621,0.96076347,0.91524172,1,1,0,7.4885029,0.40353154
-6.8780526,0.91910163,0.91524172,1,3,0,7.8529398,0.19013491
-6.8816294,0.99930438,0.91524172,1,1,0,6.9077638,0.18937424
-6.8096987,0.97831731,0.91524172,1,3,0,7.0717211,0.29551403
-7.5002737,0.8958172,0.91524172,2,7,0,7.5003057,0.12074996
-7.1465206,1,0.91524172,1,1,0,7.4525223,0.15080289
-6.9526955,0.92810514,0.91524172,2,7,0,7.7646088,0.33502339
-7.6383483,0.81739992,0.91524172,1,1,0,7.6406065,0.43530474
